iter	Passed	Remaining
667	2089	10366668	2092	10366669	2093	10367670	2097	10267671	2100	1025
672	2105	1022
673	2106	1018
674	2110	1016
675	2113	1012
676	2114	1008
677	2117	1005
678	2119	1001
679	2123	999
680	2125	995
681	2127	992
682	2130	988
683	2135	986
684	2139	983
685	2140	979
686	2142	687	687	2145	688	2137	689	689	2141	962
690	690	2155	691	691	2157	692	692	2160	693	693	2167	694	694	2172	695	2162	944
696	2166	941
697	2170	939
698	2173	936
699	2177	933
700	2180	930
701	2182	926
702	2185	923
703	2187	919
704	2189	916
705	2191	706	706	2194	707	707	2201	908
708	2203	904
709	2206	901
710	2212	899
711	2214	895
712	2219	893
713	2222	890
714	2228	888
715	2230	884
716	2233	881
717	2236	878
718	2240	875
719	2242	871
720	2246	869
721	2250	866
722	2251	862
723	2256	860
724	2260	857
725	2264	854
726	2266	851
727	2270	848
728	2275	845
729	2281	843
730	2285	841
731	2287	837
732	2290	834
733	2291	830
734	2296	828
735	2299	824
736	2303	822
737	2305	818
738	2310	815
739	2314	813
740	2316	809
741	2320	806
742	2321	803
743	2325	800
744	2326	796
745	2328	792
746	2330	789
747	2334	786
748	2336	782
749	2339	779
750	2342	776
751	2344	773
752	2348	770
753	2351	767
754	2353	763
755	2356	760
756	2359	757
757	2360	753
758	2363	750
759	2364	746
760	2367	743
761	2368	739
762	2371	736
763	2373	733
764	2376	729
765	2377	766	766	2381	723
767	2387	721
768	2390	717
769	2391	714
770	2397	711
771	2400	708
772	2404	705
773	2405	702
774	2409	699
775	2412	696
776	2417	693
777	2421	690
778	2422	687
779	2424	683
780	2428	681
781	2432	678
782	2435	674
783	2439	671
784	2440	668
785	2444	665
786	2448	662
787	2449	659
788	2452	655
789	2456	653
790	2460	650
791	2463	646
792	2467	644
793	2468	640
794	2471	637
795	2473	634
796	2477	631
797	2480	627
798	2481	624
799	2485	621
800	2487	617
801	2491	615
802	2492	611
803	2494	608
804	2497	604
805	2501	601
806	2502	598
807	2505	595
808	2508	592
809	2509	588
810	2517	586
811	2518	583
812	2519	579
813	2522	576
814	2526	573
815	2528	570
816	2531	567
817	2533	563
818	2535	560
819	2538	557
820	2541	554
821	2545	551
822	2548	548
823	2550	544
824	2552	541
825	2555	538
826	2556	534
827	2560	531
828	2561	528
829	2563	525
830	2567	522
831	2570	519
832	2574	516
833	2575	512
834	2576	509
835	2578	505
836	2582	502
837	2584	499
838	2587	496
839	2589	493
840	2590	489
841	2594	486
842	2599	484
843	2603	481
844	2605	477
845	2610	475
846	2617	472
847	2618	469
848	2623	466
849	2628	463
850	2630	460
851	2634	457
852	2635	454
853	2639	451
854	2641	447
855	2645	445
856	2647	441
857	2650	438
858	2652	435
859	2656	432
860	2658	429
861	2662	426
862	2663	422
863	2668	420
864	2669	416
865	2675	413
866	2676	410
867	2680	407
868	2683	404
869	2685	401
870	2688	398
871	2690	394
872	2694	391
873	2697	388
874	2698	385
875	2702	382
876	2704	379
877	2708	376
878	2712	373
879	2715	370
880	2718	367
881	2721	364
882	2723	360
883	2726	357
884	2729	354
885	2733	351
886	2734	348
887	2738	345
888	2739	342
889	2742	338
890	2744	335
891	2747	332
892	2750	329
893	2752	326
894	2756	323
895	2758	320
896	2761	317
897	2765	314
898	2768	311
899	2771	307
900	2773	304
901	2776	301
902	2780	298
903	2781	295
904	2784	292
905	2786	289
906	2788	285
907	2790	282
908	2792	279
909	2796	276
910	2797	273
911	2802	270
912	2804	267
913	2807	264
914	2808	260
915	2812	257
916	2816	254
917	2819	251
918	2824	248
919	2826	245
920	2830	242
921	2831	239
922	2835	236
923	2837	233
924	2840	230
925	2843	227
926	2845	224
927	2848	221
928	2851	217
929	2854	214
930	2857	211
931	2860	208
932	2861	205
933	2865	202
934	2867	199
935	2869	196
936	2871	193
937	2874	190
938	2877	186
939	2882	183
940	2886	180
941	2889	177
942	2891	174
943	2895	171
944	2900	168
945	2902	165
946	2909	162
947	2914	159
948	2915	156
949	2918	153
950	2919	150
951	2922	147
952	2924	144
953	2928	141
954	2930	138
955	2937	135
956	2938	132
957	2942	129
958	2944	125
959	2947	122
960	2951	119
961	2955	116
962	2957	113
963	2960	110
964	2962	107
965	2966	104
966	2970	101
967	2974	98
968	2977	95
969	2978	92
970	2981	89
971	2985	86
972	2986	82
973	2990	79
974	2993	76
975	2996	73
976	3002	70
977	3004	67
978	3006	64
979	3010	61
980	3012	58
981	3015	55
982	3018	52
983	3020	49
984	3022	46
985	3024	42
986	3026	39
987	3030	36
988	3033	33
989	3037	30
990	3042	27
991	3043	24
992	3046	21
993	3047	18
994	3050	15
995	3053	12
996	3056	9
997	3059	6
998	3062	3
999	3066	0
	0

