date,high,low,open,close,volume,quoteVolume,weightedAverage
1430611200,239.4042,235.0,235.0,239.4042,92.86170078,0.39136386,237.27714864
1430697600,239.4042,233.99829863,235.52829126,233.99829863,48.37681151,0.20514409,235.81869463
1430784000,233.1763,229.6875,233.1763,231.0154,1.16104856,0.00502193,231.19568844
1430870400,240.0,225.0,229.7414,225.0,0.26766011,0.00114772,233.21029237
1430956800,226.0,225.0,226.0,225.0,0.06254532,0.0002774,225.46979091
1431043200,249.53240001,240.0,240.0,249.53240001,29.08440758,0.12098257,240.40163458
1431129600,249.53240001,238.5565,239.806,238.5565,115.36779752,0.47470879,243.02856816
1431216000,246.25,246.25,246.25,246.25,0.464723,0.0018872,246.25
1431302400,246.25,225.0,225.0,241.1937,133.68748296,0.5570808,239.97862242
1431388800,244.90444044,239.07113593,239.07113593,244.90444044,5.19530753,0.02154152,241.17645969
1431475200,239.39988755,239.39988755,239.39988755,239.39988755,0.10212799,0.0004266,239.39988755
1431561600,249.53240001,236.01,240.77139588,243.26620001,318.9187259,1.31297869,242.89710741
1431648000,254.0,237.005,243.26620001,243.31250001,34.76105879,0.14235369,244.18797152
1431734400,252.99999999,243.31250001,244.0,243.5,115.80995806,0.47456153,244.0357061
1431820800,249.99999999,243.31250001,243.5,243.31250001,44.42495523,0.18244941,243.49190951
1431907200,245.5,235.00000001,240.5,242.42424242,31.34106169,0.1288073,243.31743382
1431993600,260.0,230.5,242.00000017,243.99999999,20339.31806626,85.65301702,237.46178212
1432080000,243.99999999,232.00000002,240.00000001,232.52023435,21723.68279538,89.79940427,241.91343998
1432166400,233.14749997,230.83999767,233.14749997,232.52549999,9008.53353363,38.74573197,232.50389334
1432252800,237.40539423,232.52549999,232.52549999,236.50775007,69.01840017,0.29279121,235.72565643
1432339200,242.0,235.6075675,239.99999999,241.78343249,26.57979491,0.11015718,241.28971818
1432425600,243.0,235.65603177,241.95,243.0,32.50679829,0.1346827,241.35838007
1432512000,242.0,234.15866811,236.92205,234.947125,23.09186949,0.09768836,236.38301939
1432598400,241.6212575,234.326575,240.0,235.32585376,72.35565596,0.30192259,239.64969287
1432684800,241.0,235.66789119,235.66789119,239.8186175,10.55710102,0.04425466,238.5534321
1432771200,241.72665748,236.913,240.0,237.7,271.72154245,1.12910599,240.651936
1432857600,243.0,237.34458299,238.51,237.35460214,142.42675822,0.59893136,237.80147064
1432944000,237.99999999,234.326575,237.35466667,234.326575,10.13073056,0.04284466,236.452584
1433030400,240.99999999,233.00000001,234.326575,233.00000001,37.80401453,0.16125151,234.44130563
1433116800,239.9799959,231.33781455,233.00000001,231.33781455,75.92108586,0.32609443,232.81932741
1433203200,234.99999967,223.0,230.83999762,232.9999998,157.29018026,0.68955954,228.10239165
1433289600,232.99999995,224.00000001,225.00000354,232.99999995,64.01656863,0.28188403,227.1025025
1433376000,229.0,225.0,229.0,225.0,13.93599046,0.06099114,228.49204753
1433462400,229.0,225.00000001,225.00000001,229.0,8.14584367,0.03601151,226.20111376
1433548800,227.00000008,224.00001675,224.00001675,226.99999844,23.68322609,0.10459579,226.42618875
1433635200,243.00000001,225.0,226.99999843,230.0,282.74741483,1.18758216,238.08661358
1433721600,229.999999,226.00000001,226.00000001,229.999999,4.62412547,0.02010675,229.97876235
1433808000,237.0,230.0,235.0,230.0,48.57459771,0.20923048,232.15832468
1433894400,238.0,230.0,237.0,237.0,136.51135673,0.59051532,231.17326867
1433980800,239.99899992,229.0,229.0,239.99899992,21.77331682,0.09268559,234.91587879
1434067200,239.99899992,229.0,229.5,230.0,12.05289186,0.05144691,234.27824659
1434153600,239.99899992,231.00000001,239.99898999,239.99899992,44.03222386,0.18351719,239.93514646
1434240000,239.0,232.50000001,232.50000001,239.0,1.57189746,0.00675124,232.83092588
1434326400,237.49999999,234.00000001,234.00000001,237.0,59.97970517,0.25462051,235.56509713
1434412800,241.80000001,234.32,237.0,234.32,95.7334639,0.40351195,237.25062889
1434499200,250.0,234.32,234.32,250.0,357.92998908,1.43872702,248.78241953
1434585600,254.0,245.0,245.0,252.76067842,268.48433653,1.06789551,251.41442586
1434672000,256.64346013,243.0141492,250.0,249.99999989,913.00284734,3.66859856,248.8696521
1434758400,249.99999989,238.00000001,244.93383776,241.704225,413.73278585,1.68915676,244.9345115
1434844800,246.49999999,238.74611776,240.197175,246.49999999,198.26959477,0.8273664,239.63940858
1434931200,250.95562501,243.18145623,246.49999999,245.0,270.64727355,1.0914623,247.96758765
1435017600,249.0,244.0,249.0,244.0,17.84842109,0.07314186,244.02470883
1435104000,247.85175,233.79446564,246.7871,237.14437355,2044.6173318,8.4918282,240.77469346
1435190400,245.49772898,238.63595,238.63595,244.25750294,265.99415173,1.08950831,244.14146206
1435276800,244.8,239.0,244.00000245,244.8,35.3613774,0.1453977,243.20451699
1435363200,250.0,240.0000024,240.00000241,250.0,170.1315464,0.6850492,248.34938337
1435449600,249.98999999,245.0,245.0,249.98999999,0.59480794,0.0023851,249.38490678
1435536000,255.67500001,246.90192338,249.98999999,255.66999999,62.7340424,0.24813333,252.82392495
1435622400,263.8815,255.17352623,255.41815473,259.365275,206.41433163,0.79627241,259.22577379
1435708800,263.05759894,253.65851835,259.0,263.05759894,289.88160875,1.11678715,259.56746435
1435795200,256.92304903,255.0,255.83983613,255.0,31.04867242,0.12146926,255.60929923
1435881600,256.22301049,255.0,255.0,256.22301049,19.14722713,0.07495767,255.44053241
1435968000,257.0,253.48779475,256.22301049,257.0,92.01619297,0.3604844,255.25707345
1436054400,276.58553125,254.53392093,257.5,266.99,403.89512783,1.52373963,265.06833574
1436140800,300.9999993,266.0,270.0,268.03348967,358.56788491,1.32694264,270.22108876
1436227200,267.65000001,262.89154266,265.24512018,262.89154266,92.56543244,0.34957736,264.79241231
1436313600,276.46321919,263.482575,267.0,270.00000001,368.42765109,1.37499075,267.94918517
1436400000,270.5888486,265.77514014,270.58884859,267.1,288.7726741,1.08194303,266.9019219
1436486400,289.32575,270.09999999,270.09999999,286.0,822.37743056,2.93036512,280.63991922
1436572800,298.25850978,265.41403,265.41403,290.00000001,522.02955941,1.81617427,287.43362795
1436659200,312.24054041,296.10649522,298.60792499,312.0,825.14478181,2.7229989,303.02795267
1436745600,307.00000001,270.00000001,307.00000001,288.88888699,1000.27753806,3.45833771,289.23651243
1436832000,292.84749999,288.88888699,288.888887,288.888887,76.58335418,0.26486579,289.14022525
1436918400,292.8475,283.32791599,292.84749999,283.32791599,278.76282758,0.97443179,286.07731238
1437004800,292.8475,280.233,280.233,281.43066515,510.18357931,1.79658941,283.97338672
1437091200,281.43066515,274.74360024,281.43066515,280.134925,268.20186227,0.96289328,278.53747434
1437177600,275.57345,274.24387431,275.568525,275.519275,29.80335682,0.10857075,274.50631802
1437264000,281.454425,272.90902501,281.45442499,277.99999883,108.53770902,0.38709975,280.38692618
1437350400,282.49798267,274.14820466,277.99999883,281.9264,273.78471774,0.97426167,281.01764256
1437436800,285.99878125,279.1,282.54083484,279.86050498,327.67267473,1.15062232,284.77865328
1437523200,282.794225,278.00000001,278.00000001,278.00000001,485.10670976,1.72760321,280.79752743
1437609600,278.00000449,278.0,278.00000449,278.0,51.5790752,0.18553624,278.00000263
1437696000,284.0,278.0,278.0,284.0,167.5047101,0.59738719,280.39555067
1437782400,294.16835476,283.75387501,283.75387501,283.93117501,211.14607554,0.72172985,292.55555321
1437868800,293.92369999,286.90364013,293.92369999,288.05340001,3.26348367,0.01125044,290.07609279
1437955200,293.19131973,284.866925,285.40000001,293.19131973,256.06094625,0.89737362,285.34485586
1438041600,294.38714898,290.35343548,293.10620822,291.45133763,80.50339422,0.27414151,293.6563464
1438128000,299.4672167,291.45133763,294.07110119,295.14679126,428.81935555,1.44843368,296.0572938
1438214400,293.39719705,284.0,292.36183522,284.61055662,239.13508551,0.82647886,289.34204743
1438300800,287.88215399,284.0,284.0,285.049,29.23487883,0.10279384,284.40302294
1438387200,284.00000001,275.7245078,284.00000001,279.84502254,301.37639242,1.0811874,278.74574974
1438473600,286.438075,280.0,280.0,286.438075,106.5638591,0.37397484,284.94927387
1438560000,288.96564431,284.28627499,285.4383,288.96564431,75.70679403,0.26392367,286.85109614
1438646400,288.0,281.10448572,281.10448572,288.0,11.94721831,0.04194037,284.86201513
1438732800,288.965425,279.79331405,288.19999998,287.5698,9.29752713,0.03223517,288.4280473
1438819200,283.738175,275.637475,279.79331405,283.738175,167.08972647,0.59909152,278.90517708
